Row Labels,Dist L2,Dist L-inf,FGM,Naive,Oracle,Oracle Vector,Value,Vector
16,236500,147364,160932,1068672,72864,316756,155396,533830
36,660306,350274,387275,2404512,218592,745338,368852,1388970
81,1694097,957339,1127279,5410152,491832,1667270,1079900,3507086
100,2805306,1030464,1589624,6679200,607200,1889404,1538280,4179560
121,2779465,1429877,1749239,8081832,612260,2623104,1679185,4976004
144,3673348,1851388,2366777,9618048,874368,2965666,2287972,6832518
169,4313850,2345073,3017121,11287848,1026168,3038530,2943968,7449332
196,6096802,2524388,3604162,13091232,1190112,3595130,3519288,9526462
225,6769919,3248622,4152442,15028200,1366200,3867864,4037613,11030294
256,7708646,3821950,4994719,17098752,1554432,4714402,4856766,13156506
,,,,,,,,
,,,,,,,,
,,,,,,,,
Row Labels,Dist L2,Dist L-inf,FGM,Naive,Oracle,Oracle Vector,Value,Vector
16,3.245772947,2.022452789,2.208662714,14.66666667,1,4.347222222,2.132685551,7.326388889
36,3.02072354,1.602409969,1.771679659,11,1,3.409722222,1.687399356,6.354166667
81,3.444462743,1.946475626,2.292000114,11,1,3.389917695,2.19566844,7.130658436
100,4.62006917,1.697075099,2.617957839,11,1,3.111666667,2.533399209,6.883333333
121,4.539680855,2.33540816,2.857019894,13.2,1,4.284297521,2.742601183,8.127272727
144,4.201146428,2.117401369,2.706843114,11,1,3.391782407,2.616715159,7.814236111
169,4.203843815,2.285272002,2.940182309,11,1,2.961045365,2.868894762,7.259368836
196,5.122880872,2.121134818,3.028422535,11,1,3.020833333,2.957106558,8.004676871
225,4.955291319,2.377852437,3.039410042,11,1,2.831111111,2.955360123,8.073703704
256,4.959140059,2.458743773,3.213211643,11,1,3.032877604,3.12446347,8.463867188
